date,total,pnl,cash,set_aside,btc_holding,btc_price,eth_holding,eth_price
2017-11-19,12412.070941816633,417.1404011821687,0.0,0.0,1.5424508252557647,8046.98,0,355.0
2017-11-20,12719.064929567288,306.9939877506549,0.0,0.0,1.5424508252557647,8246.01,0,368.24
2017-11-21,12525.255983373901,-193.80894619338687,0.0,0.0,1.5424508252557647,8120.36,0,361.0
2017-11-22,12711.05960978421,185.80362641030842,0.0,0.0,1.5424508252557647,8240.82,0,381.0
2017-11-23,12355.879458252566,-355.1801515316438,0.0,0.0,1.5424508252557647,8010.55,0,406.68
2017-11-24,12663.336181250796,307.45672299822945,0.0,0.0,1.5424508252557647,8209.88,0,470.52
2017-11-25,13542.132114432019,878.7959331812235,0.0,0.0,1.5424508252557647,8779.62,0,465.51
2017-11-26,14354.37129450345,812.2391800714304,0.0,0.0,1.5424508252557647,9306.21,0,469.81
2017-11-27,15059.11707656281,704.7457820593609,0.0,0.0,1.5424508252557647,9763.11,0,477.26
2017-11-28,15332.238844190848,273.12176762803756,0.0,0.0,1.5424508252557647,9940.18,0,468.19
2017-11-29,15158.111570527726,-174.12727366312174,0.0,0.0,1.5424508252557647,9827.29,0,435.25
2017-11-30,15323.323478420869,165.21190789314278,0.0,0.0,1.5424508252557647,9934.4,0,435.0
2017-12-01,16828.41614468894,1505.0926662680722,0.0,0.0,1.5424508252557647,10910.18,0,463.5
2017-12-02,16794.22000989302,-34.19613479592226,0.0,0.0,1.5424508252557647,10888.01,0,457.03
2017-12-03,17323.589133120797,529.3691232277779,0.0,0.0,1.5424508252557647,11231.21,0,464.0
2017-12-04,17998.61188777748,675.0227546566821,0.0,0.0,1.5424508252557647,11668.84,0,467.5
2017-12-05,18063.95010473531,65.33821695783263,0.0,0.0,1.5424508252557647,11711.2,0,459.08
2017-12-06,21185.80887701997,3121.858772284657,0.0,0.0,1.5424508252557647,13735.16,0,421.27
2017-12-07,26298.786570610788,5112.977693590819,0.0,0.0,1.5424508252557647,17050.0,0,423.48
2017-12-08,25064.84133491443,-1233.9452356963593,0.0,0.0,1.5424508252557647,16250.01,0,453.68
2017-12-09,23200.002862671958,-1864.8384722424707,0.0,0.0,1.5424508252557647,15041.0,0,473.35
2017-12-10,23551.650801813765,351.647939141807,0.0,0.0,1.5424508252557647,15268.98,0,440.16
2017-12-11,25913.466929953644,2361.816128139879,0.0,0.0,1.5424508252557647,16800.19,0,515.99
2017-12-12,26784.920797206643,871.4538672529998,0.0,0.0,1.5424508252557647,17365.17,0,671.51
2017-12-13,25390.12878945262,-1394.792007754022,0.0,0.0,1.5424508252557647,16460.9,0,703.2
2017-12-14,25726.213399767596,336.08461031497427,0.0,0.0,1.5424508252557647,16678.79,0,698.18
2017-12-15,27340.634980529794,1614.4215807621986,0.0,0.0,1.5424508252557647,17725.45,0,688.95
2017-12-16,30077.77566797916,2737.140687449366,0.0,0.0,1.5424508252557647,19499.99,0,696.26
2017-12-17,29708.374119838656,-369.401548140504,0.0,0.0,1.5424508252557647,19260.5,0,721.52
2017-12-18,29278.616470905898,-429.75764893275846,0.0,0.0,1.5424508252557647,18981.88,0,787.1
2017-12-19,27208.84798201994,-2069.7684888859585,0.0,0.0,1.5424508252557647,17640.01,0,820.83
2017-12-20,25505.164772000193,-1703.6832100197462,25505.164772000193,0.0,0.0,16535.48,0,802.5
2017-12-21,25505.164772000193,0.0,25505.164772000193,0.0,0.0,15800.0,0,798.5
2017-12-22,25505.164772000193,0.0,25505.164772000193,0.0,0.0,14000.0,0,672.46
2017-12-23,25505.164772000193,0.0,25505.164772000193,0.0,0.0,15002.72,0,722.0
2017-12-24,25505.164772000193,0.0,25505.164772000193,0.0,0.0,14100.01,0,689.16
2017-12-25,25505.164772000193,0.0,25505.164772000193,0.0,0.0,13986.68,0,729.01
2017-12-26,25505.164772000193,0.0,25505.164772000193,0.0,0.0,15830.86,0,754.63
2017-12-27,25505.164772000193,0.0,25505.164772000193,0.0,0.0,15418.95,0,739.67
2017-12-28,25505.164772000193,0.0,0.0,0.0,1.7603596737023215,14488.61,0,720.23
2017-12-29,25657.224640614597,152.05986861440397,0.0,0.0,1.7603596737023215,14574.99,0,746.32
2017-12-30,22313.755908755043,-3343.4687318595534,22313.755908755043,0.0,0.0,12675.68,0,697.0
2017-12-31,22313.755908755043,0.0,22313.755908755043,0.0,0.0,13820.26,0,736.11
2018-01-01,22313.755908755043,0.0,22313.755908755043,0.0,0.0,13338.41,0,750.77
2018-01-02,22313.755908755043,0.0,22313.755908755043,0.0,0.0,14740.09,0,859.98
2018-01-03,22313.755908755043,0.0,0.0,0.0,1.473438715580761,15144.0,0,940.0
2018-01-04,22396.25374244041,82.49783368536737,0.0,0.0,1.473438715580761,15199.99,0,947.88
2018-01-05,24968.155754873784,2571.902012433373,0.0,0.0,1.473438715580761,16945.5,0,968.33
2018-01-06,25306.309940099567,338.1541852257833,0.0,0.0,1.473438715580761,17175.0,0,1004.9
2018-01-07,23796.256272436625,-1510.0536676629417,0.0,0.0,1.473438715580761,16150.15,0,1115.11
2018-01-08,22072.126693786955,-1724.1295786496703,0.0,0.0,1.473438715580761,14980.01,0,1135.25
2018-01-09,21331.782676756244,-740.3440170307113,21331.782676756244,0.0,0.0,14477.55,0,1292.25
