date,total,pnl,cash,set_aside,btc_holding,btc_price,eth_holding,eth_price
2018-01-28,100000.0,0.0,100000.0,0.0,0.0,11372.85,0.0,1106.0
2018-01-29,100000.0,0.0,100000.0,0.0,0.0,11633.11,0.0,1223.6
2018-01-30,100000.0,0.0,100000.0,0.0,0.0,11135.34,0.0,1165.0
2018-01-31,100000.0,0.0,100000.0,0.0,0.0,10007.42,0.0,1052.95
2018-02-01,100000.0,0.0,100000.0,0.0,0.0,10112.6,0.0,1101.69
2018-02-02,100000.0,0.0,100000.0,0.0,0.0,9000.73,0.0,1021.9
2018-02-03,100000.0,0.0,100000.0,0.0,0.0,8845.07,0.0,914.12
2018-02-04,100000.0,0.0,100000.0,0.0,0.0,9221.14,0.0,970.0
2018-02-05,100000.0,0.0,100000.0,0.0,0.0,8162.94,0.0,823.53
2018-02-06,100000.0,0.0,0.0,0.0,14.508165921188741,6892.67,0.0,692.32
2018-02-07,111462.6117310128,11462.611731012803,0.0,0.0,14.508165921188741,7682.75,0.0,785.01
2018-02-08,110011.94022055314,-1450.671510459666,0.0,0.0,14.508165921188741,7582.76,0.0,750.91
2018-02-09,118966.96055374767,8955.020333194538,0.0,0.0,14.508165921188741,8200.0,0.0,812.64
2018-02-10,126188.83538599702,7221.874832249348,0.0,0.0,14.508165921188741,8697.78,0.0,879.49
2018-02-11,124095.5972068879,-2093.2381791091175,0.0,0.0,14.508165921188741,8553.5,0.0,852.0
2018-02-12,117137.48083108578,-6958.1163758021285,0.0,0.0,14.508165921188741,8073.9,0.0,812.56
2018-02-13,129122.6766985798,11985.195867494025,0.0,0.0,14.508165921188741,8900.0,0.0,866.27
2018-02-14,123596.08105422137,-5526.595644358429,0.0,0.0,14.508165921188741,8519.07,0.0,840.58
2018-02-15,137541.330137668,13945.24908344663,0.0,0.0,14.508165921188741,9480.27,0.0,920.81
2018-02-16,145330.90950241344,7789.579364745441,0.0,0.0,14.508165921188741,10017.18,0.0,927.97
2018-02-17,147745.7937199953,2414.8842175818572,0.0,0.0,14.508165921188741,10183.63,0.0,937.7
2018-02-18,161040.64172519502,13294.848005199718,0.0,0.0,14.508165921188741,11100.0,0.0,976.98
2018-02-19,150928.30499646725,-10112.336728727765,0.0,0.0,14.508165921188741,10402.99,0.0,915.81
2018-02-20,162011.52818864098,11083.223192173726,0.0,0.0,14.508165921188741,11166.92,0.0,939.6
2018-02-21,162581.6991093437,570.1709207027161,0.0,0.0,14.508165921188741,11206.22,0.0,885.22
2018-02-22,151973.03802445208,-10608.661084891617,0.0,0.0,14.508165921188741,10475.0,0.0,840.01
2018-02-23,142614.69067864848,-9358.347345803602,0.0,0.0,14.508165921188741,9829.96,0.0,803.9
2018-02-24,147426.46898806994,4811.778309421468,0.0,0.0,14.508165921188741,10161.62,0.0,856.58
2018-02-25,140688.73165261067,-6737.737335459271,0.0,0.0,14.508165921188741,9697.21,0.0,833.09
2018-02-26,139205.85201380597,-1482.8796388047049,0.0,0.0,14.508165921188741,9595.0,0.0,840.86
2018-02-27,149434.10898824403,10228.25697443806,0.0,0.0,14.508165921188741,10300.0,0.0,866.45
2018-02-28,153241.9222159192,3807.8132276751858,0.0,0.0,14.508165921188741,10562.46,0.0,871.31
2018-03-01,149388.55334725152,-3853.3688686676905,0.0,0.0,14.508165921188741,10296.86,0.0,849.81
2018-03-02,158152.79129858242,8764.237951330899,0.0,0.0,14.508165921188741,10900.95,0.0,868.75
2018-03-03,159992.71690070757,1839.9256021251495,0.0,0.0,14.508165921188741,11027.77,0.0,855.3
2018-03-04,165882.30685641413,5889.589955706557,0.0,0.0,14.508165921188741,11433.72,0.0,854.6
2018-03-05,166367.89516979633,485.58831338220625,0.0,0.0,14.508165921188741,11467.19,0.0,862.9
2018-03-06,165393.23658321088,-974.6585865854577,0.0,0.0,14.508165921188741,11400.01,0.0,848.03
2018-03-07,155191.96479738623,-10201.271785824647,0.0,0.0,14.508165921188741,10696.87,0.0,813.12
2018-03-08,143402.48408816903,-11789.480709217198,0.0,0.0,14.508165921188741,9884.26,0.0,749.73
2018-03-09,134864.57352520866,-8537.910562960373,0.0,0.0,14.508165921188741,9295.77,0.0,696.99
2018-03-10,134302.09193244416,-562.4815927644959,0.0,0.0,14.508165921188741,9257.0,0.0,727.0
2018-03-11,127225.00859608832,-7077.083336355849,0.0,0.0,14.508165921188741,8769.2,0.0,682.57
2018-03-12,138276.45890489462,11051.450308806307,0.0,0.0,14.508165921188741,9530.94,0.0,720.2
2018-03-13,132175.04972673868,-6101.40917815594,0.0,0.0,14.508165921188741,9110.39,0.0,697.28
2018-03-14,132699.22976147124,524.1800347325625,0.0,0.0,14.508165921188741,9146.52,0.0,690.34
2018-03-15,118949.84091796067,-13749.388843510576,0.0,0.0,14.508165921188741,8198.82,0.0,613.42
2018-03-16,119910.42658360259,960.5856656419201,0.0,0.0,14.508165921188741,8265.03,0.0,611.24
2018-03-17,119921.74295302111,11.31636941852048,0.0,0.0,14.508165921188741,8265.81,0.0,601.38
2018-03-18,114193.62888401737,-5728.114069003743,0.0,0.0,14.508165921188741,7870.99,0.0,550.0
2018-03-19,118927.64342410128,4734.01454008391,0.0,0.0,14.508165921188741,8197.29,0.0,538.2
2018-03-20,124755.8638379612,5828.220413859919,0.0,0.0,14.508165921188741,8599.01,0.0,555.11
2018-03-21,129184.04624042643,4428.182402465231,0.0,0.0,14.508165921188741,8904.23,0.0,558.09
2018-03-22,129159.38235836041,-24.663882066015503,0.0,0.0,14.508165921188741,8902.53,0.0,560.21
2018-03-23,126372.50876655927,-2786.873591801137,0.0,0.0,14.508165921188741,8710.44,0.0,539.49
2018-03-24,129485.38084660952,3112.8720800502488,0.0,0.0,14.508165921188741,8925.0,0.0,543.0
2018-03-25,123904.52466170584,-5580.856184903678,0.0,0.0,14.508165921188741,8540.33,0.0,519.86
2018-03-26,122696.13952213005,-1208.3851395757956,0.0,0.0,14.508165921188741,8457.04,0.0,522.57
2018-03-27,118233.42768477237,-4462.711837357681,0.0,0.0,14.508165921188741,8149.44,0.0,486.22
2018-03-28,113082.73861943196,-5150.689065340412,0.0,0.0,14.508165921188741,7794.42,0.0,449.77
2018-03-29,115221.96768451123,2139.229065079271,0.0,0.0,14.508165921188741,7941.87,0.0,445.52
2018-03-30,102813.56861709614,-12408.399067415085,0.0,0.0,14.508165921188741,7086.6,0.0,382.42
2018-03-31,99217.13936689266,-3596.4292502034805,0.0,0.0,14.508165921188741,6838.71,0.0,393.81
2018-04-01,100414.93354534601,1197.7941784533468,0.0,0.0,14.508165921188741,6921.27,0.0,393.84
2018-04-02,98815.40825253495,-1599.5252928110567,0.0,0.0,14.508165921188741,6811.02,0.0,378.55
2018-04-03,102282.42466272142,3467.016410186465,0.0,0.0,14.508165921188741,7049.99,0.0,384.94
2018-04-04,107629.2641313163,5346.839468594888,0.0,0.0,14.508165921188741,7418.53,0.0,415.49
2018-04-05,98572.97679999188,-9056.28733132442,0.0,0.0,14.508165921188741,6794.31,0.0,378.05
2018-04-06,98321.8404478961,-251.13635209578206,0.0,0.0,14.508165921188741,6777.0,0.0,380.99
2018-04-07,95651.46742844209,-2670.3730194540112,0.0,0.0,14.508165921188741,6592.94,0.0,370.2
2018-04-08,100048.16711085834,4396.699682416249,0.0,0.0,14.508165921188741,6895.99,0.0,384.92
2018-04-09,101886.7869780506,1838.6198671922612,0.0,0.0,14.508165921188741,7022.72,0.0,400.94
2018-04-10,98234.93653402818,-3651.8504440224206,0.0,0.0,14.508165921188741,6771.01,0.0,398.88
2018-04-11,99100.63879454552,865.7022605173406,0.0,0.0,14.508165921188741,6830.68,0.0,415.0
2018-04-12,100678.40183847479,1577.7630439292698,0.0,0.0,14.508165921188741,6939.43,0.0,429.98
2018-04-13,114910.3322805241,14231.930442049314,0.0,0.0,14.508165921188741,7920.39,0.0,494.14
2018-04-14,114265.44430532726,-644.8879751968489,0.0,0.0,14.508165921188741,7875.94,0.0,495.2
2018-04-15,116037.32660928203,1771.8823039547715,0.0,0.0,14.508165921188741,7998.07,0.0,502.21
2018-04-16,121250.98111472043,5213.654505438404,0.0,0.0,14.508165921188741,8357.43,0.0,534.0
2018-04-17,116823.66920221047,-4427.311912509962,0.0,0.0,14.508165921188741,8052.27,0.0,511.49
2018-04-18,114473.78156795552,-2349.8876342549484,0.0,0.0,14.508165921188741,7890.3,0.0,502.68
2018-04-19,118488.19107834845,4014.4095103929285,0.0,0.0,14.508165921188741,8167.0,0.0,525.26
2018-04-20,119972.37645208604,1484.1853737375932,0.0,0.0,14.508165921188741,8269.3,0.0,566.26
2018-04-21,128354.75947637127,8382.383024285227,0.0,0.0,14.508165921188741,8847.07,0.0,617.01
2018-04-22,129412.84001700357,1058.0805406323052,0.0,0.0,14.508165921188741,8920.0,0.0,605.76
2018-04-23,127671.86010646092,-1740.97991054265,0.0,0.0,14.508165921188741,8800.0,0.0,621.26
2018-04-24,129601.44617397903,1929.586067518103,0.0,0.0,14.508165921188741,8933.0,0.0,643.0
2018-04-25,140003.65605781213,10402.2098838331,0.0,0.0,14.508165921188741,9649.99,0.0,703.72
2018-04-26,128615.0359729974,-11388.620084814727,0.0,0.0,14.508165921188741,8865.01,0.0,617.5
2018-04-27,134649.56250625665,6034.5265332592535,0.0,0.0,14.508165921188741,9280.95,0.0,661.08
2018-04-28,129499.88901253071,-5149.673493725946,0.0,0.0,14.508165921188741,8926.0,0.0,643.09
2018-04-29,135561.835979381,6061.946966850286,0.0,0.0,14.508165921188741,9343.83,0.0,682.85
2018-04-30,136279.40986584302,717.5738864620216,0.0,0.0,14.508165921188741,9393.29,0.0,689.69
2018-05-01,134118.99887851876,-2160.410987324256,0.0,0.0,14.508165921188741,9244.38,0.0,669.58
2018-05-02,131441.6619394226,-2677.3369390961598,0.0,0.0,14.508165921188741,9059.84,0.0,669.5
2018-05-03,133644.87201621433,2203.210076791729,0.0,0.0,14.508165921188741,9211.7,0.0,685.07
2018-05-04,141128.18399836347,7483.311982149142,0.0,0.0,14.508165921188741,9727.5,0.0,774.98
2018-05-05,140604.00396363094,-524.1800347325334,0.0,0.0,14.508165921188741,9691.37,0.0,781.28
2018-05-06,142365.87563310008,1761.8716694691393,0.0,0.0,14.508165921188741,9812.81,0.0,815.15
2018-05-07,139276.65186350135,-3089.223769598728,0.0,0.0,14.508165921188741,9599.88,0.0,785.76
2018-05-08,135824.86902753214,-3451.7828359692066,0.0,0.0,14.508165921188741,9361.96,0.0,751.28
