,asset_id,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,name,type_is_crypto
1190,YACC,2018-03-09,2018-03-09T23:36:52.4109083Z,2016-05-29T15:05:07.0483915Z,2018-03-09T23:34:53.2470000Z,2016-06-12T11:53:38.1680117Z,2016-05-29,1,9946.0,2018-03-09T23:17:29.8110000Z,2016-05-29T15:26:05.0000000Z,YACCoin,1
1191,OTX,2018-04-01,2018-04-01T01:30:14.0658336Z,2017-03-14T20:15:01.9041329Z,2018-04-01T01:30:14.0658336Z,2017-03-14T20:15:01.9041329Z,2016-07-15,8,9849.0,2018-03-31T17:26:19.6790000Z,2016-07-15T00:15:33.0000000Z,Octanox,1
1192,BPC,2018-04-01,2018-04-01T02:26:37.4411224Z,2017-03-18T23:14:25.5031235Z,2018-04-01T01:50:14.7261866Z,2017-03-18T23:12:00.7772209Z,2017-03-12,8,9807.0,2018-03-31T23:14:28.0000000Z,2017-03-12T05:23:02.0000000Z,Bitpark Coin,1
1193,ETT,2018-04-01,2018-04-01T00:45:29.9269647Z,2017-07-14T12:04:14.4802387Z,2018-04-01T00:36:01.9502718Z,2017-07-14T12:04:14.4802387Z,2017-07-14,7,9772.0,2018-03-31T20:38:43.0000000Z,2017-07-14T11:42:57.0000000Z,EncryptoTel,1
1194,CAB,2018-04-01,2018-04-01T02:51:50.2475435Z,2017-03-18T23:29:52.6751660Z,2018-04-01T02:51:50.2475435Z,2017-03-18T23:29:52.6751660Z,2017-03-16,7,9703.0,2018-04-01T02:10:35.0000000Z,2017-03-16T14:52:20.0000000Z,Cabbage,1
1195,UCASH,2018-04-01,2018-04-01T03:37:16.3479161Z,2018-02-27T08:09:15.1832444Z,2018-04-01T03:37:16.3479161Z,2018-02-27T08:09:15.1832444Z,2018-02-27,6,9695.0,2018-04-01T03:53:28.0000000Z,2018-02-27T00:46:39.0000000Z,U.CASH,1
1196,XC,2018-04-01,2018-04-01T02:03:51.7000000Z,2016-05-29T15:05:07.0483915Z,2018-03-29T23:30:05.8000000Z,2016-06-12T11:53:38.1680117Z,2016-05-29,4,9658.0,2018-03-09T22:16:05.4830000Z,2016-05-29T18:36:26.0000000Z,XCurrency,1
1197,EMP,2018-04-01,2018-04-01T02:42:44.5151333Z,2017-03-19T00:36:16.6853479Z,2018-04-01T02:42:44.5151333Z,2017-03-19T00:36:16.6853479Z,2017-03-03,6,9645.0,2018-03-31T21:00:51.0000000Z,2017-03-03T20:11:02.0000000Z,EMoneyPower,1
1198,FLY,2018-04-01,2018-04-01T03:13:39.3788390Z,2017-03-14T20:05:19.6313236Z,2018-04-01T03:13:39.3788390Z,2017-03-14T20:05:19.6313236Z,2017-02-17,8,9606.0,2018-03-31T04:28:08.0000000Z,2017-02-17T20:12:01.0000000Z,Flycoin,1
1199,ZYD,2018-04-01,2018-04-01T04:16:23.1792611Z,2017-03-18T23:16:48.4954722Z,2018-04-01T03:59:25.3219079Z,2017-03-18T23:16:48.4954722Z,2017-03-17,6,9585.0,2018-03-31T22:17:24.0000000Z,2017-03-17T17:02:45.0000000Z,Zayedcoin,1
1200,CMP,2018-04-01,2018-04-01T00:54:54.5607692Z,2017-12-08T18:23:09.7967205Z,2018-03-31T14:00:13.5617100Z,2017-12-08T18:23:09.7967205Z,2017-12-08,3,9523.0,2018-03-31T06:20:07.0000000Z,2017-12-11T01:29:16.0000000Z,Compcoin,1
1201,J,2017-05-13,2017-05-13T06:13:01.2502153Z,2017-03-14T20:38:17.6832969Z,2017-05-13T06:13:01.2502153Z,2017-03-14T20:38:17.6832969Z,2017-03-14,1,9438.0,2017-05-12T23:41:12.0000000Z,2017-03-14T20:29:06.0000000Z,Joincoin,1
