,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
10,2018-03-09,2018-03-09T23:36:46.2227576Z,2015-03-29T04:20:18.0000000Z,2018-03-09T23:36:46.2227576Z,2015-03-29T04:20:18.0000000Z,2011-06-13,3,118500419.0,2018-03-09T22:06:20.0000000Z,2011-06-13T05:13:24.0000000Z,BTCCHINA,BTCCHINA,https://www.btcchina.com/
11,2018-06-21,2018-06-21T15:53:33.2159485Z,2017-09-21T13:50:30.0371289Z,2018-06-21T15:53:33.2159485Z,2017-09-21T13:50:30.0371289Z,2017-09-21,35,92086151.0,2018-06-21T15:53:29.0000000Z,2017-09-21T13:43:23.0000000Z,BITHUMB,BITHUMB,https://www.bithumb.com/
12,2018-06-21,2018-06-21T15:53:41.9488007Z,2017-09-21T13:36:45.5891048Z,2018-06-21T15:53:41.9488007Z,2017-09-21T13:36:45.5891048Z,2017-09-20,8,63092458.0,2018-06-21T15:53:04.0000000Z,2017-09-20T13:37:21.0000000Z,COINONE,coinone,https://coinone.co.kr/
13,2018-06-21,2018-06-21T15:53:00.3675957Z,2017-12-18T21:01:51.6121385Z,2018-06-21T15:53:00.3675957Z,2017-12-18T21:01:51.6121385Z,2017-12-01,564,53057542.0,2018-06-21T15:53:00.0000000Z,2017-12-01T15:26:32.0000000Z,OKEX,OKEx,https://www.okex.com/
14,2018-06-21,2018-06-21T15:54:33.6938749Z,2015-02-15T12:53:46.6330000Z,2018-06-21T15:54:33.6938749Z,2015-02-15T12:53:46.6330000Z,2015-02-14,5,20120699.0,2018-06-21T15:52:47.0000000Z,2015-02-14T16:15:05.5900000Z,OKCOIN_USD,OKCoin USD,https://www.okcoin.com/
15,2018-06-19,2018-06-19T18:09:37.2104076Z,2015-05-17T14:57:14.3470000Z,2018-06-19T18:09:37.2104076Z,2015-05-17T14:57:14.3470000Z,2015-05-17,6,19595199.0,2018-03-09T21:52:49.0000000Z,2015-05-17T15:04:12.0000000Z,BTCTRADE,BTCTRADE,https://www.btctrade.com/
16,2018-06-21,2018-06-21T15:54:32.2540000Z,2017-03-14T20:04:08.1113853Z,2018-06-21T15:54:32.2540000Z,2017-03-14T20:04:08.1113853Z,2015-09-25,70,11185270.0,2018-06-21T15:54:13.6290000Z,2015-09-25T12:34:25.0000000Z,BITMEX,BitMEX,https://www.bitmex.com/
17,2018-06-21,2018-06-21T15:54:01.6870134Z,2017-03-18T22:53:42.0948480Z,2018-06-21T15:54:01.6870134Z,2017-03-18T22:53:42.0948480Z,2015-10-08,6,9795377.0,2018-06-21T15:53:01.3700000Z,2015-10-08T13:40:07.8010000Z,GEMINI,Gemini,https://gemini.com/
18,2018-06-21,2018-06-21T15:54:33.1391179Z,2015-05-26T18:24:28.9330000Z,2018-06-21T15:54:33.1391179Z,2015-05-26T18:24:28.9330000Z,2013-08-25,3,2858355.0,2018-06-21T15:54:12.0000000Z,2013-08-25T00:21:44.0000000Z,ITBIT,itBit,https://www.itbit.com/
19,2018-03-09,2018-03-09T23:36:50.7701113Z,2015-03-29T21:46:06.2630000Z,2018-03-09T23:36:50.7701113Z,2015-03-29T21:46:06.2630000Z,2015-03-29,2,538686774.0,2018-03-09T22:01:33.0000000Z,2015-03-29T21:46:08.7030000Z,HUOBI,Huobi,https://www.huobi.com/
20,2018-06-21,2018-06-21T16:11:42.2834551Z,2017-03-14T20:03:49.1491232Z,2018-06-21T16:11:42.2834551Z,2017-03-14T20:03:49.1491232Z,2014-12-07,2371,68119761.0,2018-06-21T16:01:28.0000000Z,2014-12-07T20:04:05.0000000Z,CRYPTOPIA,Cryptopia,https://www.cryptopia.co.nz/
21,2018-03-09,2018-03-09T23:36:50.7544837Z,2014-02-24T17:43:05.0000000Z,2018-03-09T23:36:50.7544837Z,2014-02-24T17:43:05.0000000Z,2011-08-14,24,65974803.0,2018-03-09T22:08:25.6800000Z,2011-08-14T14:14:40.0000000Z,BTC-E,BTC-e,https://btc-e.com/
22,2018-06-21,2018-06-21T16:04:41.5581031Z,2017-03-14T20:03:20.5307029Z,2018-06-21T16:04:41.5581031Z,2017-03-14T20:03:20.5307029Z,2017-03-14,1,59142974.0,2017-12-18T10:58:56.0000000Z,2017-03-14T20:04:46.0000000Z,COINCHECK,coincheck,https://coincheck.com/
23,2018-06-21,2018-06-21T16:11:57.0038674Z,2017-09-21T13:45:51.3610312Z,2018-06-21T16:11:57.0038674Z,2017-09-21T13:45:51.3610312Z,2016-09-08,235,51286181.0,2018-06-21T16:11:21.0000000Z,2016-09-08T12:23:19.0000000Z,LIQUI,Liqui,https://liqui.io/
24,2018-06-21,2018-06-21T16:10:23.9593662Z,2017-03-14T20:04:15.0007802Z,2018-06-21T16:10:23.9593662Z,2017-03-14T20:04:15.0007802Z,2016-02-17,53,43956873.0,2018-06-21T16:09:42.0000000Z,2016-02-17T16:38:11.0000000Z,EXMO,EXMO,https://exmo.com/
