,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
140,1117.96,1118.72,1000.0,1004.25,2018-01-07T23:59:48.0000000Z,2018-01-07T00:00:03.0000000Z,2018-01-08T00:00:00.0000000Z,2018-01-07T00:00:00.0000000Z,18398,47293.113255251,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
141,1130.0,1229.76,964.0,1116.96,2018-01-08T23:59:59.0000000Z,2018-01-08T00:00:03.0000000Z,2018-01-09T00:00:00.0000000Z,2018-01-08T00:00:00.0000000Z,41538,109474.483111044,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
142,1287.47,1301.0,1115.0,1135.94,2018-01-09T23:59:58.0000000Z,2018-01-09T00:00:03.0000000Z,2018-01-10T00:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,37132,102834.852436775,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
143,1241.89,1378.99,1187.96,1287.45,2018-01-10T23:56:08.0000000Z,2018-01-10T00:00:03.0000000Z,2018-01-11T00:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,43636,96017.937262522,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
144,1135.0,1334.33,1100.0,1274.0,2018-01-11T23:59:56.0000000Z,2018-01-11T00:03:40.0000000Z,2018-01-12T00:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,25531,55123.519532712,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
145,1258.68,1288.34,1157.68,1173.43,2018-01-12T23:58:54.0000000Z,2018-01-12T02:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,2018-01-12T00:00:00.0000000Z,10511,24570.895020693,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
146,1384.78,1420.0,1256.0,1258.68,2018-01-13T23:59:53.0000000Z,2018-01-13T00:00:02.0000000Z,2018-01-14T00:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,15518,35399.269866945,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
147,1359.59,1389.0,1265.0,1381.52,2018-01-14T23:59:55.0000000Z,2018-01-14T00:00:21.0000000Z,2018-01-15T00:00:00.0000000Z,2018-01-14T00:00:00.0000000Z,15853,31543.634927602,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
148,1276.71,1379.0,1269.0,1359.59,2018-01-15T23:59:59.0000000Z,2018-01-15T00:00:00.0000000Z,2018-01-16T00:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,15918,33805.125181706,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
149,1057.88,1281.16,862.11,1272.66,2018-01-16T23:59:59.0000000Z,2018-01-16T00:00:02.0000000Z,2018-01-17T00:00:00.0000000Z,2018-01-16T00:00:00.0000000Z,65920,125656.803522824,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
