,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
18,2018-04-09,2018-04-09T03:38:41.2338657Z,2017-03-14T20:03:49.1491232Z,2018-04-09T03:38:41.2338657Z,2017-03-14T20:03:49.1491232Z,2014-12-19,2011,64795116.0,2018-04-09T03:04:25.0000000Z,2014-12-19T15:12:05.0000000Z,CRYPTOPIA,Cryptopia,https://www.cryptopia.co.nz/
19,2018-04-09,2018-04-09T00:48:03.4138289Z,2017-09-21T13:36:45.5891048Z,2018-04-09T00:49:44.7506204Z,2017-09-21T13:36:45.5891048Z,2017-09-20,9,63129447.0,2018-04-09T00:49:39.0000000Z,2017-09-20T13:37:21.0000000Z,COINONE,coinone,https://coinone.co.kr/
20,2018-04-09,2018-04-09T00:37:58.3332838Z,2017-03-14T20:03:20.5307029Z,2018-04-09T00:38:15.5280721Z,2017-03-14T20:03:20.5307029Z,2017-03-14,1,59142974.0,2017-12-18T10:58:56.0000000Z,2017-03-14T20:04:46.0000000Z,COINCHECK,coincheck,https://coincheck.com/
21,2018-04-09,2018-04-09T03:38:03.5504147Z,2017-12-18T21:01:51.6121385Z,2018-04-09T03:38:36.4170814Z,2017-12-18T21:01:51.6121385Z,2017-12-01,465,51627875.0,2018-04-09T03:35:21.0000000Z,2017-12-01T15:26:32.0000000Z,OKEX,OKEx,https://www.okex.com/
22,2018-04-09,2018-04-09T01:54:59.5401469Z,2017-09-21T13:45:51.3610312Z,2018-04-09T01:54:43.9916280Z,2017-09-21T13:45:51.3610312Z,2016-09-08,229,51286181.0,2018-04-09T01:54:00.0000000Z,2016-09-08T12:23:19.0000000Z,LIQUI,Liqui,https://liqui.io/
23,2018-04-09,2018-04-09T01:33:03.6621795Z,2017-03-14T20:04:15.0007802Z,2018-04-09T01:33:31.3868666Z,2017-03-14T20:04:15.0007802Z,2016-02-17,46,43956873.0,2018-04-09T01:33:07.0000000Z,2016-02-17T16:38:11.0000000Z,EXMO,EXMO,https://exmo.com/
24,2018-04-09,2018-04-09T00:37:35.8102175Z,2015-05-18T00:17:30.9400000Z,2018-04-07T18:25:40.2417939Z,2015-05-19T14:31:56.5100000Z,2015-05-18,2,38044915.0,2018-03-09T22:02:59.0000000Z,2015-05-18T00:17:33.0000000Z,CHBTC,CHBTC,https://www.chbtc.com/
25,2018-04-09,2018-04-09T03:37:40.2741256Z,2017-03-18T22:53:47.5257032Z,2018-04-09T03:37:40.2741256Z,2017-03-18T22:53:47.5257032Z,2015-01-06,3603,20272374.0,2018-04-09T03:31:45.0000000Z,2015-01-06T19:51:51.0000000Z,YOBIT,YObit,https://yobit.net/en/
26,2018-04-08,2018-04-08T23:13:50.7934698Z,2017-11-29T01:10:28.2891461Z,2018-04-08T23:14:55.3757508Z,2017-11-29T01:10:28.2891461Z,2017-11-28,3,17752579.0,2018-04-08T23:15:14.0000000Z,2017-11-28T21:25:01.0000000Z,BITFLYER,bitFlyer,https://bitflyer.jp/
27,2018-04-09,2018-04-09T03:38:53.0115530Z,2017-12-28T21:48:26.7161574Z,2018-04-09T03:39:10.4070176Z,2017-12-28T21:48:26.7161574Z,2017-12-14,15,16031739.0,2018-04-09T03:39:00.0000000Z,2017-12-14T05:11:55.0000000Z,ZAIF,Zaif,https://zaif.jp/
