,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
43,2018-04-01,2018-04-01T04:35:57.9668946Z,2017-12-28T21:41:59.3272652Z,2018-04-01T04:34:31.8692992Z,2017-12-28T21:41:59.3272652Z,2017-12-28,472,3700455.0,2018-04-01T02:51:23.0000000Z,2017-12-28T20:44:07.0000000Z,LIVECOIN,LiveCoin,https://www.livecoin.net/
44,2018-04-01,2018-04-01T02:07:01.3594778Z,2018-01-24T00:21:38.5122245Z,2018-04-01T02:07:24.7260000Z,2018-01-24T00:21:38.5122245Z,2018-01-19,6,3672663.0,2018-04-01T02:07:20.0000000Z,2018-01-19T02:29:23.0000000Z,MIXCOINS,MixCoins,https://mixcoins.com/
45,2018-04-01,2018-04-01T02:36:04.6178185Z,2017-03-14T20:04:16.0302851Z,2018-04-01T02:36:00.8526584Z,2017-03-14T20:04:16.0302851Z,2011-04-27,9,3206163.0,2018-04-01T02:32:41.0000000Z,2011-04-27T16:05:09.0000000Z,VIRWOX,BirWoX,https://www.virwox.com/
46,2018-03-09,2018-03-09T23:36:52.2233882Z,2017-01-08T23:59:43.3338614Z,2018-03-09T23:36:52.2702686Z,2017-01-08T23:59:43.3338614Z,2017-01-08,179,3185746.0,2018-03-09T23:36:15.4470000Z,2017-01-09T00:21:54.0000000Z,BTER,Bter,https://bter.com/
47,2018-04-01,2018-04-01T02:07:01.3661484Z,2017-03-14T20:05:05.6101304Z,2018-04-01T02:07:24.1696036Z,2017-03-14T20:05:05.6101304Z,2017-03-07,2,2938520.0,2018-04-01T02:07:15.0000000Z,2017-03-07T18:04:01.0000000Z,MERCADOBITCOIN,Mercado Bitcoin,https://www.mercadobitcoin.com.br/
48,2018-04-01,2018-04-01T00:12:03.3835738Z,2018-01-24T00:21:46.8349102Z,2018-04-01T00:12:23.1998296Z,2018-01-24T00:21:46.8349102Z,2018-01-15,30,2719473.0,2018-04-01T00:10:33.0000000Z,2018-01-15T19:18:49.0000000Z,CEXIO,CEX.IO,https://cex.io/
49,2018-04-01,2018-04-01T02:29:59.3395048Z,2017-03-14T20:05:17.8425642Z,2018-04-01T02:29:58.2540074Z,2017-03-14T20:05:17.8425642Z,2011-11-09,16,2589671.0,2018-04-01T02:27:45.0000000Z,2011-11-09T14:33:28.0000000Z,THEROCKTRADING,The Rock Trading LTD.,https://www.therocktrading.com/
50,2018-04-01,2018-04-01T01:10:02.1573790Z,2017-03-14T20:03:37.1002962Z,2018-04-01T01:10:02.1573790Z,2017-03-14T20:03:37.1002962Z,2016-12-02,1889,2452933.0,2018-04-01T00:57:26.4950000Z,2016-12-02T05:15:13.4340000Z,DERIBIT,Deribit,https://www.deribit.com/
51,2018-04-01,2018-04-01T04:36:16.0607507Z,2017-03-14T20:03:12.2346102Z,2018-04-01T04:35:06.4760000Z,2017-03-14T20:03:12.2346102Z,2014-02-11,997,2146143.0,2018-04-01T00:00:14.0000000Z,2014-02-11T19:40:58.0000000Z,CCEX,c-cex,https://c-cex.com
52,2018-04-01,2018-04-01T02:22:02.5988609Z,2017-03-14T20:05:08.1246185Z,2018-04-01T02:22:04.4993834Z,2017-03-14T20:05:08.1246185Z,2017-03-14,4,1965995.0,2018-04-01T02:21:17.0000000Z,2017-03-14T20:10:31.0000000Z,QUADRIGACX,QuadrigaCX,https://www.quadrigacx.com/
53,2018-04-01,2018-04-01T00:19:05.3018597Z,2017-12-18T21:59:40.9730956Z,2018-04-01T00:19:05.0736748Z,2017-12-18T21:44:18.7514464Z,2017-12-17,21,1936692.0,2018-04-01T00:19:30.0000000Z,2017-12-17T09:56:31.0000000Z,COINNEST,Coinnest,https://www.coinnest.co.kr/
