,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
997,299.66,299.27,300.44,299.27,2017-10-11T02:00:00.0000000Z,2017-10-11T01:00:00.0000000Z,139,414.80066899,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
998,300.21,299.67,301.5,299.66,2017-10-11T03:00:00.0000000Z,2017-10-11T02:00:00.0000000Z,280,1264.75207761,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
999,301.01,300.26,301.83,300.15,2017-10-11T04:00:00.0000000Z,2017-10-11T03:00:00.0000000Z,333,860.93543988,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1000,301.32,301.01,301.34,300.01,2017-10-11T05:00:00.0000000Z,2017-10-11T04:00:00.0000000Z,308,518.16205313,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1001,301.75,301.32,301.78,301.06,2017-10-11T06:00:00.0000000Z,2017-10-11T05:00:00.0000000Z,279,807.88728315,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1002,301.66,301.73,302.0,301.61,2017-10-11T07:00:00.0000000Z,2017-10-11T06:00:00.0000000Z,340,460.27225988,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1003,300.51,301.44,301.77,300.51,2017-10-11T08:00:00.0000000Z,2017-10-11T07:00:00.0000000Z,70,226.25150404,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1004,300.24,300.78,301.4,300.23,2017-10-11T09:00:00.0000000Z,2017-10-11T08:00:00.0000000Z,173,147.47804747,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1005,297.63,300.01,300.01,297.63,2017-10-11T10:00:00.0000000Z,2017-10-11T09:00:00.0000000Z,60,243.855393,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1006,299.06,297.63,299.2,297.5,2017-10-11T11:00:00.0000000Z,2017-10-11T10:00:00.0000000Z,153,460.21206345,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1007,299.49,299.47,300.53,298.9,2017-10-11T12:00:00.0000000Z,2017-10-11T11:00:00.0000000Z,176,583.99272362,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1008,300.89,299.49,300.89,299.49,2017-10-11T13:00:00.0000000Z,2017-10-11T12:00:00.0000000Z,235,68.88768753,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1009,300.01,300.9,301.3,300.01,2017-10-11T14:00:00.0000000Z,2017-10-11T13:00:00.0000000Z,228,427.33651351,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1010,299.34,300.01,300.48,299.32,2017-10-11T15:00:00.0000000Z,2017-10-11T14:00:00.0000000Z,314,888.75156716,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1011,300.02,299.35,300.03,298.86,2017-10-11T16:00:00.0000000Z,2017-10-11T15:00:00.0000000Z,270,2572.57404154,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1012,299.99,300.02,300.03,299.21,2017-10-11T17:00:00.0000000Z,2017-10-11T16:00:00.0000000Z,205,2226.59938732,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1013,300.38,299.98,300.62,299.98,2017-10-11T18:00:00.0000000Z,2017-10-11T17:00:00.0000000Z,191,885.01075854,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1014,302.0,300.48,302.0,300.03,2017-10-11T19:00:00.0000000Z,2017-10-11T18:00:00.0000000Z,389,1851.26857878,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1015,302.34,302.0,303.41,302.0,2017-10-11T20:00:00.0000000Z,2017-10-11T19:00:00.0000000Z,347,1078.20096726,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1016,301.86,303.775,303.775,301.69,2017-10-11T21:00:00.0000000Z,2017-10-11T20:00:00.0000000Z,219,3854.31979762,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1017,301.45,301.87,301.97,300.76,2017-10-11T22:00:00.0000000Z,2017-10-11T21:00:00.0000000Z,414,639.98007385,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1018,302.0,301.45,302.06,301.44,2017-10-11T23:00:00.0000000Z,2017-10-11T22:00:00.0000000Z,265,519.69164858,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
